cohort,parent,hypothesis,method,threshold,C_map,precision,recall,f1,joint
v35_online,P00,1,swapped,10cm,0.9574829931972789,0.88641357421875,0.60748291015625,0.7209081797842146,0.690257321800192
v35_online,P00,1,swapped_no_feedback,02cm,0.9574829931972789,0.816650390625,0.5400390625,0.6501460011022134,0.6225037391505888
v35_online,P00,1,swapped_no_feedback,05cm,0.9574829931972789,0.861602783203125,0.5706787109375,0.6865945942470516,0.6574026472127382
v35_online,P00,1,swapped_no_feedback,10cm,0.9574829931972789,0.885711669921875,0.5897216796875,0.7080270672252803,0.6779238755915524
v36_online,P00,0,G,02cm,0.9574829931972789,0.80487060546875,0.66558837890625,0.728633069287458,0.6976537721238756
v36_online,P00,0,G,05cm,0.9574829931972789,0.873382568359375,0.749114990234375,0.8064899336236534,0.7722003956294504
v36_online,P00,0,G,10cm,0.9574829931972789,0.892730712890625,0.78076171875,0.8330004397977187,0.7975837544321694
v36_online,P00,0,S,02cm,0.9574829931972789,0.80487060546875,0.66558837890625,0.728633069287458,0.6976537721238756
v36_online,P00,0,S,05cm,0.9574829931972789,0.873382568359375,0.749114990234375,0.8064899336236534,0.7722003956294504
v36_online,P00,0,S,10cm,0.9574829931972789,0.892730712890625,0.78076171875,0.8330004397977187,0.7975837544321694
v36_online,P00,1,G,02cm,0.9574829931972789,0.777923583984375,0.5513916015625,0.6453556470731507,0.6179170566363671
v36_online,P00,1,G,05cm,0.9574829931972789,0.855987548828125,0.595794677734375,0.7025748303948325,0.6727034515515148
v36_online,P00,1,G,10cm,0.9574829931972789,0.87969970703125,0.608856201171875,0.7196378971638464,0.6890410477946353
v36_online,P00,1,S,02cm,0.9574829931972789,0.817108154296875,0.650970458984375,0.7246386745647795,0.6938292071087939
v36_online,P00,1,S,05cm,0.9574829931972789,0.878143310546875,0.724945068359375,0.7942240373897208,0.7604560085891374
v36_online,P00,1,S,10cm,0.9574829931972789,0.895904541015625,0.752532958984375,0.8179839335346674,0.7832057050680573
v36_online,P01,0,G,02cm,0.9476047904191617,0.779052734375,0.6224365234375,0.6919937100562886,0.6557365545892675
v36_online,P01,0,G,05cm,0.9476047904191617,0.8631591796875,0.69091796875,0.7674936701015238,0.7272806784045877
v36_online,P01,0,G,10cm,0.9476047904191617,0.884765625,0.7176513671875,0.7924944175173307,0.7509715064198658
v36_online,P01,0,S,02cm,0.9476047904191617,0.779052734375,0.6224365234375,0.6919937100562886,0.6557365545892675
v36_online,P01,0,S,05cm,0.9476047904191617,0.8631591796875,0.69091796875,0.7674936701015238,0.7272806784045877
v36_online,P01,0,S,10cm,0.9476047904191617,0.884765625,0.7176513671875,0.7924944175173307,0.7509715064198658
v36_online,P01,1,G,02cm,0.9476047904191617,0.787567138671875,0.519744873046875,0.6262223231112892,0.5934112732476737
v36_online,P01,1,G,05cm,0.9476047904191617,0.854949951171875,0.555450439453125,0.6734007296728102,0.6381177573097139
v36_online,P01,1,G,10cm,0.9476047904191617,0.87646484375,0.572357177734375,0.6924949192008952,0.6562115027756986
v36_online,P01,1,S,02cm,0.9476047904191617,0.783721923828125,0.62445068359375,0.6950791238268467,0.6586603074586735
v36_online,P01,1,S,05cm,0.9476047904191617,0.86334228515625,0.68450927734375,0.7635949312324404,0.7235862147756509
v36_online,P01,1,S,10cm,0.9476047904191617,0.8822021484375,0.703521728515625,0.7827950242654947,0.7417803149102667
